,Municipio,Calidad del aire Buena,Calidad del aire Regular,Calidad del aire Desfavorable
0,A Coruña,93.0,4.0,3.0
1,Albacete,75.0,16.0,9.0
2,Alcalá de Guadaíra,86.0,11.0,3.0
3,Alcalá de Henares,85.0,11.0,3.0
4,Alcobendas,89.0,8.0,3.0
5,Alcorcón,88.0,10.0,2.0
6,Algeciras,93.0,4.0,2.0
7,Alicante,94.0,5.0,0.0
8,Almería,86.0,10.0,4.0
9,Arona,89.0,6.0,3.0
10,Avilés,90.0,7.0,4.0
11,Badajoz,92.0,6.0,2.0
12,Badalona,96.0,4.0,0.0
13,Barakaldo,87.0,7.0,5.0
14,Barcelona,98.0,2.0,0.0
15,Bilbao,91.0,5.0,4.0
16,Burgos,97.0,2.0,1.0
17,Cáceres,86.0,11.0,3.0
18,Cádiz,87.0,10.0,3.0
19,Cartagena,88.0,9.0,4.0
20,Castelló de la Plana,99.0,2.0,0.0
21,Ceuta,87.0,12.0,0.0
22,Chiclana de la Frontera,89.0,6.0,3.0
23,Córdoba,83.0,8.0,10.0
24,Cornellà de Llobregat,89.0,6.0,3.0
25,Coslada,82.0,12.0,6.0
26,Dos Hermanas,85.0,5.0,0.0
27,El Ejido,85.0,10.0,5.0
28,El Puerto de Santa María,89.0,6.0,3.0
29,Elche,96.0,4.0,0.0
30,Fuengirola,89.0,6.0,3.0
31,Fuenlabrada,88.0,9.0,3.0
32,Gandia,98.0,2.0,0.0
33,Getafe,85.0,11.0,4.0
34,Getxo,89.0,6.0,3.0
35,Gijón,70.0,18.0,13.0
36,Girona,100.0,0.0,0.0
37,Granada,80.0,10.0,9.0
38,Guadalajara,89.0,7.0,5.0
39,Huelva,92.0,6.0,2.0
40,Jaén,78.0,16.0,6.0
41,Jerez de la Frontera,86.0,13.0,1.0
42,L'Hospitalet de Llobregat,90.0,7.0,3.0
43,Las Palmas de Gran Canaria,81.0,7.0,12.0
44,Las Rozas de Madrid,89.0,6.0,3.0
45,Leganés,83.0,12.0,5.0
46,León,91.0,5.0,3.0
47,Lleida,99.0,0.0,0.0
48,Logroño,96.0,3.0,1.0
49,Lorca,75.0,16.0,8.0
50,Lugo,90.0,5.0,4.0
51,Madrid,81.0,5.0,14.0
52,Málaga,81.0,11.0,9.0
53,Manresa,100.0,0.0,0.0
54,Marbella,97.0,3.0,0.0
55,Mataró,92.0,7.0,0.0
56,Melilla,81.0,15.0,4.0
57,Mijas,89.0,6.0,3.0
58,Móstoles,89.0,7.0,3.0
59,Murcia,79.0,13.0,8.0
60,Orihuela,99.0,2.0,3.0
61,Ourense,93.0,4.0,3.0
62,Oviedo,80.0,9.0,11.0
63,Palencia,92.0,6.0,2.0
64,Palma,70.0,14.0,15.0
65,Pamplona,96.0,4.0,1.0
66,Parla,89.0,6.0,3.0
67,Pontevedra,97.0,2.0,1.0
68,Pozuelo de Alarcón,89.0,6.0,3.0
69,Reus,98.0,2.0,0.0
70,Rivas-Vaciamadrid,88.0,8.0,3.0
71,Roquetas de Mar,89.0,6.0,3.0
72,Rubí,93.0,6.0,0.0
73,Sabadell,99.0,0.0,0.0
74,Salamanca,95.0,3.0,2.0
75,San Cristóbal de La Laguna,89.0,6.0,3.0
76,San Fernando,87.0,12.0,1.0
77,San Sebastián,93.0,3.0,4.0
78,San Sebastián de los Reyes,89.0,6.0,3.0
79,Sant Boi de Llobregat,89.0,6.0,3.0
80,Sant Cugat del Vallès,96.0,3.0,0.0
81,Santa Coloma de Gramenet,100.0,0.0,0.0
82,Santa Cruz de Tenerife,81.0,6.0,13.0
83,Santander,93.0,4.0,2.0
84,Santiago de Compostela,96.0,3.0,1.0
85,Sevilla,96.0,4.0,0.0
86,Talavera de la Reina,88.0,7.0,4.0
87,Tarragona,94.0,6.0,0.0
88,Telde,87.0,4.0,8.0
89,Terrassa,99.0,1.0,0.0
90,Toledo,87.0,9.0,4.0
91,Torrejón de Ardoz,86.0,9.0,4.0
92,Torrente,94.0,5.0,2.0
93,Torrevieja,85.0,12.0,2.0
94,Valdemoro,85.0,11.0,4.0
95,València,86.0,9.0,5.0
96,Valladolid,91.0,5.0,3.0
97,Vélez-Málaga,89.0,6.0,3.0
98,Vigo,93.0,4.0,2.0
99,Vitoria-Gasteiz,94.0,3.0,3.0
100,Zaragoza,99.0,2.0,0.0
