,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),"Tiempo medio 
de viaje a Madrid 
en coche",Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),"Tiempo medio 
de viaje a Barcelona 
en coche",Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,"Número de
conexiones del
aeropuerto internacional
más cercano",Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,% días calidad del aire Buena,% días calidad del aire Razonablemente Buena,% días calidad del aire Regular,% días calidad del aire Desfavorable,% días calidad del aire Muy Desfavorable,% días calidad del aire Extremadamente Desfavorable,Ponderación calidad del aire,"Horas de Sol medias
anuales"
0,A Coruña,A Coruña,Galicia,244700.0,"20,4","9,1",593.0,5:37,4 h 32 min,1084.0,11 h,12 h,A Coruña,9.0,"11,6",24.0,7.0,,2.300,Sí,20,73,4,3,0,0,410,2.453
1,Albacete,Albacete,Castilla-La Mancha,172357.0,"24,4","7,1",260.0,2:34,1 h 37 min,545.0,5 h 22 min,5 h 25 min,"Alacant-Elx 
Miguel Hernández",119.0,169,33.0,0.0,,1.417,No,3,72,16,9,0,0,369,3.282
2,Alcalá de Guadaíra,Sevilla,Andalucía,75917.0,N/D,"6,6",531.0,5:09,3 h 29 min,995.0,9 h 50 min,12 h ,Sevilla,70.0,"21,1",35.0,5.0,,N/D,No,14,72,11,3,0,0,397,3.526
3,Alcalá de Henares,Madrid,Madrid,196888.0,28,"9,9",40.0,0:39,42 min,586.0,5 h 30 min,3 h 20 min,"Adolfo Suárez 
Madrid-Barajas",174.0,21,33.0,1.0,,N/D,Sí,17,68,11,3,0,0,396,2.691
4,Alcobendas,Madrid,Madrid,117041.0,"53,8",12,24.0,0:25,22 min,613.0,5 h 47 min,3 h 49 min,"Adolfo Suárez 
Madrid-Barajas",174.0,"9,1",33.0,0.0,,N/D,No,22,67,8,3,0,0,408,2.691
5,Alcorcón,Madrid,Madrid,170296.0,"17,6","10,8",15.0,0:34,20 min,631.0,6 h 3 min,3 h 9 min,"Adolfo Suárez 
Madrid-Barajas",174.0,"29,5",33.0,0.0,,N/D,No,12,76,10,2,0,0,398,2.691
6,Algeciras,Cádiz,Andalucía,122368.0,N/D,"7,1",662.0,6:20,5 h 40 min,1106.0,11 h ,14 h,Jerez,16.0,107,28.0,11.0,,N/D,No,13,80,4,2,0,0,401,3.316
7,Alicante,Alicante,Comunidad Valenciana,338577.0,"39,3","9,4",427.0,4:02,2 h 25 min,525.0,5 h 18 min,8 h,"Alacant-Elx 
Miguel Hernández",119.0,"11,1",31.0,7.0,841152.0,1.705,No,32,62,5,0,0,0,423,3.397
8,Almería,Almería,Andalucía,199237.0,"40,2","7,6",551.0,5:15,10 h 5 min,803.0,7 h 55 min,12 h,Almería,19.0,"8,6",30.0,8.0,,1.302,No,5,81,10,4,0,0,387,3.305
9,Arona,Santa Cruz de Tenerife,Santa Cruz de Tenerife,82982.0,N/D,"13,7",2029.0,42:00,,2504.0,46 h,,Tenerife Sur,102.0,"18,9",25.0,13.0,,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3.098
10,Avilés,Asturias,Asturias,75877.0,"9,9","6,8",481.0,4:41,5 h,893.0,8 h 49 min,13 h,Asturias,24.0,"14,5",22.0,7.0,,N/D,No,6,84,7,4,0,0,395,1.962
11,Badajoz,Badajoz,Extremadura,150146.0,N/D,"6,7",404.0,3:44,4 h 28 min,1021.0,9 h 53 min,16 h,Sevilla,70.0,217,35.0,3.0,,1.374,No,33,59,6,2,0,0,423,3.224
12,Badalona,Barcelona,Cataluña,223506.0,"0,9","12,8",633.0,6:21,3 h 2 min,10.0,23 min,21 min,"Josep Tarradellas
Barcelona-El Prat",170.0,"24,7",29.0,5.0,,N/D,No,33,63,4,0,0,0,429,2.453
13,Barakaldo,Bizkaia,País Vasco,100535.0,16,"11,3",408.0,4:03,4 h 54 min,612.0,5 h 51 min,9 h 40 min,Bilbao,46.0,16,24.0,6.0,,N/D,No,44,43,7,5,0,0,423,1.694
14,Barcelona,Barcelona,Cataluña,1636193.0,"14,1","18,4",623.0,6:15,2 h 45 min,0.0,0,0,"Josep Tarradellas
Barcelona-El Prat",170.0,"12,6",28.0,5.0,8200000.0,4.063,Sí,31,67,2,0,0,0,429,2.453
15,Bilbao,Bizkaia,País Vasco,344127.0,"9,8","13,3",401.0,3:59,4 h 28 min,605.0,5 h 44 min,10 h 10 min,Bilbao,46.0,"12,1",24.0,5.0,1100000.0,3.174,No,55,36,5,4,0,0,442,1.694
16,Burgos,Burgos,Castilla y León,173483.0,"34,6","7,9",248.0,2:37,2 h 24 min,602.0,5 h 46 min,4 h 48 min,Vitoria,3.0,122,27.0,-1.0,,1.642,Sí,80,17,2,1,0,0,476,2.751
17,Cáceres,Cáceres,Extremadura,95456.0,"53,4","6,3",297.0,2:50,3 h 3 min,914.0,8 h 51 min,11 h 29 min,Sevilla,70.0,269,34.0,1.0,,1.220,Sí,23,63,11,3,0,0,406,3.365
